المدينة,الاسم,أوضة_من,أوضة_الأرجح,أوضة_لـ,شقة_غرفة_من,شقة_غرفة_الأرجح,شقة_غرفة_لـ,شقة_غرفتين_من,شقة_غرفتين_الأرجح,شقة_غرفتين_لـ,فواتير_الشقة_داخلة,أكل_للفرد,الفواتير,تأمين_العربية,اشتراك_المواصلات,مصدر_الأوضة,مصدر_الشقق,مصدر_باقي_الأرقام,مرجع_سوق_الشقق_Zillow
columbus-oh,كولومبوس,737,900,1005,,1194,,,1430,,نعم,296,,,,وسيط 73 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (55٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1398
dallas-tx,دالاس / فورت وورث,750,830,1000,,1648,,,1931,,نعم,296,,,,وسيط 88 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (83٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1504
dearborn-mi,ديربورن / ديترويت,700,800,910,,1122,,,1411,,نعم,296,,,,وسيط 80 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (73٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1422
denver-co,دنفر,800,1000,1250,,1754,,,2089,,نعم,296,,,,وسيط 80 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (53٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1774
des-moines-ia,دي موين,660,780,930,,1109,,,1318,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1196
hartford-ct,هارتفورد,800,950,1130,,1477,,,1865,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1921
houston-tx,هيوستن,700,800,1000,,1323,,,1573,,نعم,296,,,,وسيط 88 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (86٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1427
indianapolis-in,إنديانابوليس,737,800,910,,1267,,,1473,,نعم,296,,,,وسيط 79 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (66٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1434
jersey-city-nj,جيرسي سيتي,1030,1220,1450,,2458,,,2763,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,3597
kansas-city-mo,كانساس سيتي,670,800,950,,1197,,,1358,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1409
las-vegas-nv,لاس فيجاس,770,910,1080,,1478,,,1735,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1523
los-angeles-ca,لوس أنجلوس,990,1170,1390,,2085,,,2601,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,2710
louisville-ky,لويفيل,715,850,850,,1047,,,1272,,نعم,296,,,,وسيط 73 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (70٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1267
memphis-tn,ممفيس,700,800,900,,1154,,,1274,,نعم,296,,,,وسيط 70 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (50٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1259
miami-fl,ميامي,1083,1343,1600,,1995,,,2436,,نعم,296,,,,وسيط 204 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (83٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,2486
milwaukee-wi,ميلواكي,650,780,1000,,1119,,,1338,,نعم,296,,,,وسيط 32 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (41٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1482
minneapolis-mn,مينيابوليس / سانت بول,650,800,950,,1405,,,1709,,نعم,296,,,,وسيط 79 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (44٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1630
nashville-tn,ناشفيل,850,1070,1200,,1578,,,1730,,نعم,296,,,,وسيط 73 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (55٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1665
nyc-ny,نيويورك سيتي,1325,1580,1955,,2655,,,2910,,نعم,296,,,,وسيط 88 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (30٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,3597
oklahoma-city-ok,أوكلاهوما سيتي,640,760,910,,1017,,,1244,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1157
omaha-ne,أوماها,670,800,950,,1148,,,1368,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1309
orlando-fl,أورلاندو,800,900,1049,,1731,,,1972,,نعم,296,,,,وسيط 88 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (77٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1788
paterson-nj,باترسون,920,1090,1300,,2024,,,2324,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,3597
philadelphia-pa,فيلادلفيا,800,950,1140,,1520,,,1810,,نعم,296,,,,وسيط 80 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (60٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1835
phoenix-az,فينكس,800,862,995,,1583,,,1839,,نعم,296,,,,وسيط 88 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (77٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1519
pittsburgh-pa,بيتسبرج,680,1177,1250,,1077,,,1299,,نعم,296,,,,وسيط 48 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (33٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1418
portland-or,بورتلاند,800,900,1000,,1677,,,1922,,نعم,296,,,,وسيط 80 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (46٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1687
raleigh-nc,رالي / دورهام,645,720,850,,1596,,,1750,,نعم,296,,,,وسيط 80 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (99٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1487
richmond-va,ريتشموند,800,1200,1350,,1507,,,1655,,نعم,296,,,,وسيط 31 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (90٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1640
sacramento-ca,ساكرامنتو,850,950,1199,,1832,,,2255,,نعم,296,,,,وسيط 202 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (57٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1996
salt-lake-city-ut,سولت ليك سيتي,770,910,1080,,1456,,,1747,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1511
san-antonio-tx,سان أنطونيو,690,820,980,,1177,,,1426,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1252
san-diego-ca,سان دييجو,1090,1290,1540,,2459,,,3001,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,2727
san-francisco-ca,سان فرانسيسكو,1240,1470,1750,,2977,,,3604,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,3106
seattle-wa,سياتل,825,966,1130,,2146,,,2501,,نعم,296,,,,وسيط 80 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (45٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,2096
silver-spring-md,سيلفر سبرينج,890,1060,1260,,2015,,,2246,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,2296
st-louis-mo,سانت لويس,700,900,1100,,995,,,1218,,نعم,296,,,,وسيط 68 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (56٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1362
tampa-fl,تامبا,845,950,1075,,1696,,,1977,,نعم,296,,,,وسيط 88 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (70٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1809
tucson-az,توسان,750,800,1000,,1081,,,1402,,نعم,296,,,,وسيط 40 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (40٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1217
virginia-beach-va,فرجينيا بيتش,760,900,1070,,1512,,,1713,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1725
